"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Alabama,2016,40,379,4,0,1.06,1.06,0
States,Alaska,2016,40,X,X,X,X,X,X
States,Arizona,2016,40,133,0,0,0,0,0
States,Arkansas,2016,40,47,0,0,0,0,0
States,California,2016,40,797,3,0,0.38,0.38,0
States,Colorado,2016,40,260,0,0,0,0,0
States,Connecticut,2016,40,199,3,0,1.51,1.51,0
States,Delaware,2016,40,40,0,0,0,0,0
States,District of Columbia,2016,40,X,X,X,X,X,X
States,Florida,2016,40,X,X,X,X,X,X
States,Georgia,2016,40,552,6,3,1.63,1.09,0.54
States,Hawaii,2016,40,188,4,1,2.66,2.13,0.53
States,Idaho,2016,40,13,0,0,0,0,0
States,Illinois,2016,40,188,0,1,0.53,0,0.53
States,Indiana,2016,40,131,1,0,0.76,0.76,0
States,Iowa,2016,40,64,0,0,0,0,0
States,Kansas,2016,40,69,0,0,0,0,0
States,Kentucky,2016,40,240,0,0,0,0,0
States,Louisiana,2016,40,452,5,3,1.77,1.11,0.66
States,Maine,2016,40,X,X,X,X,X,X
States,Maryland,2016,40,82,1,0,1.22,1.22,0
States,Massachusetts,2016,40,362,1,1,0.55,0.28,0.28
States,Michigan,2016,40,606,2,1,0.5,0.33,0.17
States,Minnesota,2016,40,210,2,0,0.95,0.95,0
States,Mississippi,2016,40,75,0,1,1.33,0,1.33
States,Missouri,2016,40,536,0,0,0,0,0
States,Montana,2016,40,86,1,0,1.16,1.16,0
States,Nebraska,2016,40,54,0,0,0,0,0
States,Nevada,2016,40,X,X,X,X,X,X
States,New Hampshire,2016,40,21,1,0,4.76,4.76,0
States,New Jersey,2016,40,X,X,X,X,X,X
States,New Mexico,2016,40,176,1,0,0.57,0.57,0
States,New York,2016,40,1166,8,3,0.94,0.69,0.26
States,North Carolina,2016,40,155,3,1,2.58,1.94,0.65
States,North Dakota,2016,40,42,0,0,0,0,0
States,Ohio,2016,40,807,2,3,0.62,0.25,0.37
States,Oklahoma,2016,40,117,1,0,0.85,0.85,0
States,Oregon,2016,40,166,3,0,1.81,1.81,0
States,Pennsylvania,2016,40,272,0,1,0.37,0,0.37
States,Rhode Island,2016,40,X,X,X,X,X,X
States,South Carolina,2016,40,154,0,1,0.65,0,0.65
States,South Dakota,2016,40,129,1,0,0.78,0.78,0
States,Tennessee,2016,40,123,0,2,1.63,0,1.63
States,Texas,2016,40,1122,15,10,2.23,1.34,0.89
States,Utah,2016,40,395,6,0,1.52,1.52,0
States,Vermont,2016,40,47,0,0,0,0,0
States,Virginia,2016,40,213,0,1,0.47,0,0.47
States,Washington,2016,40,411,11,0,2.68,2.68,0
States,West Virginia,2016,40,333,0,2,0.6,0,0.6
States,Wisconsin,2016,40,444,1,0,0.23,0.23,0
States,Wyoming,2016,40,X,X,X,X,X,X
States,Puerto Rico,2016,40,0,0,0,0,0,0
States,Virgin Islands,2016,40,X,X,X,X,X,X
States,New York City,2016,40,X,X,X,X,X,X
States,Alabama,2016,41,497,6,7,2.62,1.21,1.41
States,Alaska,2016,41,X,X,X,X,X,X
States,Arizona,2016,41,138,0,1,0.72,0,0.72
States,Arkansas,2016,41,60,1,0,1.67,1.67,0
States,California,2016,41,840,5,0,0.6,0.6,0
States,Colorado,2016,41,301,2,1,1,0.66,0.33
States,Connecticut,2016,41,275,1,0,0.36,0.36,0
States,Delaware,2016,41,37,0,0,0,0,0
States,District of Columbia,2016,41,X,X,X,X,X,X
States,Florida,2016,41,X,X,X,X,X,X
States,Georgia,2016,41,561,8,0,1.43,1.43,0
States,Hawaii,2016,41,190,5,0,2.63,2.63,0
States,Idaho,2016,41,15,0,0,0,0,0
States,Illinois,2016,41,234,0,0,0,0,0
States,Indiana,2016,41,111,0,1,0.9,0,0.9
States,Iowa,2016,41,91,0,0,0,0,0
States,Kansas,2016,41,62,0,0,0,0,0
States,Kentucky,2016,41,260,2,0,0.77,0.77,0
States,Louisiana,2016,41,496,5,1,1.21,1.01,0.2
States,Maine,2016,41,X,X,X,X,X,X
States,Maryland,2016,41,113,1,0,0.88,0.88,0
States,Massachusetts,2016,41,417,2,1,0.72,0.48,0.24
States,Michigan,2016,41,669,3,1,0.6,0.45,0.15
States,Minnesota,2016,41,215,0,0,0,0,0
States,Mississippi,2016,41,66,1,0,1.52,1.52,0
States,Missouri,2016,41,572,1,0,0.17,0.17,0
States,Montana,2016,41,96,2,0,2.08,2.08,0
States,Nebraska,2016,41,60,0,0,0,0,0
States,Nevada,2016,41,X,X,X,X,X,X
States,New Hampshire,2016,41,17,1,0,5.88,5.88,0
States,New Jersey,2016,41,X,X,X,X,X,X
States,New Mexico,2016,41,167,0,1,0.6,0,0.6
States,New York,2016,41,1135,1,3,0.35,0.09,0.26
States,North Carolina,2016,41,176,1,1,1.14,0.57,0.57
States,North Dakota,2016,41,36,1,0,2.78,2.78,0
States,Ohio,2016,41,974,4,3,0.72,0.41,0.31
States,Oklahoma,2016,41,143,2,0,1.4,1.4,0
States,Oregon,2016,41,188,2,0,1.06,1.06,0
States,Pennsylvania,2016,41,270,0,0,0,0,0
States,Rhode Island,2016,41,X,X,X,X,X,X
States,South Carolina,2016,41,179,0,1,0.56,0,0.56
States,South Dakota,2016,41,108,0,0,0,0,0
